product_id,slug,category,source_url,matched_terms,matched_in,fields_withheld,excerpt
15,empower-x-tablets,supplements,https://biosash.com/product/empower-x-tablets/,erectile dysfunction; libido; aphrodisiac,description,description; key_claims,<p>Empower-X Tablets are a safe and effective Ayurvedic formulation purely based on the herbs and formulas of the ancient Ayurvedic texts and tested in modern laboratories. It helps to maintain virility and enhances libi
23,panch-tulsi-drops,supplements,https://biosash.com/product/panch-tulsi-drops/,infection; constipation; diabetes; heart disease; cancer; blood pressure; treat,benefits,description; benefits; key_claims,Panch Tulsi Drops is a blend of five species of best quality Organic Certified Himalayan Tulsi. Tulsi plant is a venerated plant worshipped in India as sacred. It is also known all over the world as Holy Basil. In Sanskr
36,seabuckthorn-cardiosash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-cardiosash-juice/,blood pressure; heart disease; cholesterol,description; benefits,description; benefits; key_claims; how_to_use,<p>Major lifestyle induced problems today affect the proper functioning of the heart which may lead to severe complications including high blood pressure and heart disease and even heart attacks. This special formulation
1,after-shave-lotion-for-men,mens-care,https://biosash.com/product/after-shave-lotion-for-men/,healing of,description,description,"This product is specially made for men, who have to face many problems after shaving such as fine cuts , and red spots and itch. This is a unique combination of different oils like: Lavender oil, Lemon oil and Olive oil."
18,leucosash-capsule,supplements,https://biosash.com/product/leucosash-capsule/,infection; menstrual disorder; inflammatory disease,description; benefits,description; benefits,<p>Leucorrhea is a common gynecological disorder associated with white vaginal discharge and resultant pain & burning sensations. Pus-cells and foul odours due to bacterial infection are responsible for such a problem. L
33,fresh-turmeric-rhizome-juice-with-guggul,juices-drinks,https://biosash.com/product/fresh-turmeric-rhizome-juice-with-guggul/,jaundice; hepatitis; alzheimer; cancer; ulcer; arthritis; rheumatoid,benefits,benefits; how_to_use,"Can you imagine an Indian dish without turmeric? It forms an integral part of Indian cuisine. But, apart from being used as an ingredient in cooking, turmeric offers many health benefits. Turmeric contains more than 300 "
35,seabuckthorn-biosip,juices-drinks,https://biosash.com/product/seabuckthorn-biosip/,immunity booster,description,description,"<p>A unique, rejuvenating and rehydrating sea buckthorn ready to drink beverage brought to you by Biosash – BIOSIP contains herbs to boost immunity and aid digestion and rejuvenates you from within. ITS INGREDIENTS ARE R"
79,neem-tulsi-face-wash,skin-care,https://biosash.com/product/neem-tulsi-face-wash/,therapeutic,benefits,description; benefits,"A face wash made with Neem leaf extract and Tulsi oil, which completely moisturizes and protect skin from environmental damage, it cleanses and gives clear skin, leaves the skin moisturized, soft and supple."
53,seabuckthorn-with-turmeric-oil,juices-drinks,https://biosash.com/product/seabuckthorn-with-turmeric-oil/,jaundice; hepatitis; cancer; alzheimer; ulcer,benefits,benefits; key_claims,<p>This sea buckthorn juice is formulated certified organic sea buckthorn berries and with turmeric oil. Turmeric (Curcuma longa root) has been used medicinally for thousands of years for its incredible range of health b
50,seabuckthorn-memorysash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-memorysash-juice/,depression,benefits,description; benefits; key_claims; how_to_use,Major lifestyle induced problems today affects the proper functioning of the brain which may lead to severe complications including memory loss. This special formulation based on sea buckthorn and Indian herbs well known
69,aloe-vera-and-neem-face-wash,skin-care,https://biosash.com/product/aloe-vera-and-neem-face-wash/,infection; therapeutic,benefits,description; benefits,"A face wash made with Extracts of Aloe Vera and Neem completely cleanses and gives clear skin, leaves the skin moisturized, soft and supple."
130,natural-seabuckthorn-bathing-bar,bath-body,https://biosash.com/product/natural-seabuckthorn-bathing-bar/,treating; remedy,benefits,description; benefits,"<p>This handmade natural sea buckthorn soap enriched with organic sea buckthorn berry oil, sea buckthorn seed oil, Coconut Oil, Palm Oil, Olive Oil, Sunflower Oil, Sesame Oil, Lemon Oil, Soyabean Oil and Orange Oil.</p>"
68,sesame-hair-oil,hair-care,https://biosash.com/product/sesame-hair-oil/,infection,description,description,"It is enriched with Vitamin E, B complex, and minerals such as magnesium, calcium, phosphorus and protein that strengthens the hair from the roots and deeply nourishes. Massaging your hair and scalp with sesame oil can h"
55,wellsash-capsules-60-capsules,juices-drinks,https://biosash.com/product/wellsash-capsules-60-capsules/,infection,description,description,<p> Benefits:</p> <p>Boosts energy levels and combats daily fatigue<br /> Enhances physical stamina and endurance<br /> Strengthens the immune system to fight infections<br /> Helps manage stress and improve mental clari
49,seabuckthorn-livosash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-livosash-juice/,hepatitis; constipation; treat,description; benefits,description; benefits; key_claims; how_to_use,<p>Poor dietary lifestyle and hygene induced problems today affect the proper functioning of the liver commonly leading to fatty liver and in some cases to hepatitis and even cirrhosis. This special formulation based on 
3,beard-wash,mens-care,https://biosash.com/product/beard-wash/,infection; treating; treat,benefits,description; benefits,This extremely gentle Beard Wash cleans your Beard deep down to its pores and removes dirt and grime. It deeply washes without depleting your skin of its natural nutrients. It nourishes & conditions your skin and hair. I
13,diabosash-capsules,supplements,https://biosash.com/product/diabosash-capsules/,diabetes; blood sugar; insulin; treat; remedies,description; benefits,description; benefits,Diabosash is a wonderful herbal product for diabetes that helps to balance blood sugar naturally and does not have any adverse side effects. People suffering from diabetes depend upon conventional remedies for diabetes c
21,orthosash-pain-oil,supplements,https://biosash.com/product/orthosash-pain-oil/,arthritis; osteoarthritis; rheumatoid,description; benefits,description; benefits; key_claims,"<p>Joint disorders like arthritis are very painful conditions and most of the people affected lose their flexibility and are restricted in their movements. Moreover, muscle issues like backache, muscle sprain and strain "
126,multani-mitti-bathing-bar,bath-body,https://biosash.com/product/multani-mitti-bathing-bar/,treating; remedy; therapeutic,description,description,"<p>This Handmade MultaniMitti Soap is made with MultaniMitti (Fullers Earth) A natural wonder for your skin, the benefits of multanimitti are truly incredible owing to its skin healing, improving and nourishing propertie"
10,calsash-tablets,supplements,https://biosash.com/product/calsash-tablets/,osteoporosis; treating; blood pressure; cancer,description; benefits,description; benefits; key_claims,"<p>The mineral calcium is well known for its Key role in bone health. Calcium also helps maintain heart rhythm, muscle function and more. Calcium is crucial in growing new bone and maintaining bone strength. Calcium Supp"
19,liver-kidney-support,supplements,https://biosash.com/product/liver-kidney-support/,cancer; jaundice; liver disease,description,description,Liver & Kidney Support Capsule Our unique herbal formulation of liver and kidney support capsules has been done to aid the liver and kidneys of our humanbody to detox and cleanse itself from the daily inslaught of pollut
